city,month,day,avg_temp_f,precipitation_chance,conditions
"Mexico City","June",25,72,46,"Mild, Cloudy and Rainy"
"Mexico City","July",10,72,68,"Rainy Season, Cool Nights"
"Mexico City","July",15,69,61,"Rainy Season, Cool Nights"
"Mexico City","July",20,71,62,"Rainy Season, Cool Nights"
"Mexico City","July",25,72,61,"Rainy Season, Cool Nights"
"Monterrey","June",10,91,16,"Very Hot, Sunny"
"Monterrey","June",15,93,17,"Very Hot, Sunny"
"Monterrey","June",20,91,18,"Very Hot, Sunny"
"Monterrey","June",25,88,20,"Very Hot, Sunny"
"Monterrey","July",10,94,10,"Hot and Dry"
"Monterrey","July",15,95,14,"Hot and Dry"
"Monterrey","July",20,92,16,"Hot and Dry"
"Monterrey","July",25,91,19,"Hot and Dry"
